region,percapita_ethanol_13
Alaska,>2.31
Arizona ,>2.31
California ,>2.31
Colorado ,>2.31
Connecticut ,>2.31
Delaware ,>2.31
Dist. of Columbia ,>2.31
Florida ,>2.31
Hawaii ,>2.31
Idaho ,>2.31
Illinois ,>2.31
Iowa ,>2.31
Louisiana ,>2.31
Maine ,>2.31
Massachusetts ,>2.31
Minnesota ,>2.31
Missouri ,>2.31
Montana ,>2.31
Nebraska ,>2.31
Nevada ,>2.31
New Hampshire ,>2.31
New Jersey ,>2.31
New Mexico ,>2.31
North Dakota ,>2.31
Oregon ,>2.31
Pennsylvania ,>2.31
Rhode Island ,>2.31
South Dakota ,>2.31
Vermont ,>2.31
Wisconsin ,>2.31
Wyoming ,>2.31
Maryland ,>2.10-2.31
Michigan ,>2.10-2.31
Mississippi ,>2.10-2.31
New York ,>2.10-2.31
South Carolina ,>2.10-2.31
Texas ,>2.10-2.31
Washington,>2.10-2.31
Alabama ,1.89-2.10
Georgia ,1.89-2.10
Indiana ,1.89-2.10
North Carolina ,1.89-2.10
Ohio ,1.89-2.10
Oklahoma ,1.89-2.10
Tennessee ,1.89-2.10
Virginia ,1.89-2.10
Arkansas ,<1.89
Kansas ,<1.89
Kentucky ,<1.89
Utah ,<1.89
West Virginia,<1.89
