year,GEOID,NAME,variable,estimate,moe
2009,16001,"Ada County, Idaho",B01001_001,368791,0
2009,16003,"Adams County, Idaho",B01001_001,3520,0
2009,16005,"Bannock County, Idaho",B01001_001,80428,0
2009,16007,"Bear Lake County, Idaho",B01001_001,5859,0
2009,16009,"Benewah County, Idaho",B01001_001,9246,0
2009,16011,"Bingham County, Idaho",B01001_001,43635,0
2009,16013,"Blaine County, Idaho",B01001_001,21775,0
2009,16015,"Boise County, Idaho",B01001_001,7467,0
2009,16017,"Bonner County, Idaho",B01001_001,40878,0
2009,16019,"Bonneville County, Idaho",B01001_001,96238,0
2009,16021,"Boundary County, Idaho",B01001_001,10748,0
2009,16023,"Butte County, Idaho",B01001_001,2769,0
2009,16025,"Camas County, Idaho",B01001_001,1040,90
2009,16027,"Canyon County, Idaho",B01001_001,176820,0
2009,16029,"Caribou County, Idaho",B01001_001,6888,0
2009,16031,"Cassia County, Idaho",B01001_001,21154,0
2009,16033,"Clark County, Idaho",B01001_001,984,90
2009,16035,"Clearwater County, Idaho",B01001_001,8192,0
2009,16037,"Custer County, Idaho",B01001_001,4129,0
2009,16039,"Elmore County, Idaho",B01001_001,28791,0
2009,16041,"Franklin County, Idaho",B01001_001,12272,0
2009,16043,"Fremont County, Idaho",B01001_001,12537,0
2009,16045,"Gem County, Idaho",B01001_001,16355,0
2009,16047,"Gooding County, Idaho",B01001_001,14320,0
2009,16049,"Idaho County, Idaho",B01001_001,15286,0
2009,16051,"Jefferson County, Idaho",B01001_001,22892,0
2009,16053,"Jerome County, Idaho",B01001_001,20142,0
2009,16055,"Kootenai County, Idaho",B01001_001,133461,0
2009,16057,"Latah County, Idaho",B01001_001,37511,0
2009,16059,"Lemhi County, Idaho",B01001_001,7818,0
2009,16061,"Lewis County, Idaho",B01001_001,3645,0
2009,16063,"Lincoln County, Idaho",B01001_001,4533,0
2009,16065,"Madison County, Idaho",B01001_001,37120,0
2009,16067,"Minidoka County, Idaho",B01001_001,18800,0
2009,16069,"Nez Perce County, Idaho",B01001_001,38691,0
2009,16071,"Oneida County, Idaho",B01001_001,4148,0
2009,16073,"Owyhee County, Idaho",B01001_001,10995,0
2009,16075,"Payette County, Idaho",B01001_001,22534,0
2009,16077,"Power County, Idaho",B01001_001,7689,0
2009,16079,"Shoshone County, Idaho",B01001_001,12794,0
2009,16081,"Teton County, Idaho",B01001_001,8422,0
2009,16083,"Twin Falls County, Idaho",B01001_001,72578,0
2009,16085,"Valley County, Idaho",B01001_001,8667,0
2009,16087,"Washington County, Idaho",B01001_001,10011,0
2010,16001,"Ada County, Idaho",B01001_001,380718,NA
2010,16003,"Adams County, Idaho",B01001_001,3942,NA
2010,16005,"Bannock County, Idaho",B01001_001,80701,NA
2010,16007,"Bear Lake County, Idaho",B01001_001,6026,NA
2010,16009,"Benewah County, Idaho",B01001_001,9302,NA
2010,16011,"Bingham County, Idaho",B01001_001,44496,NA
2010,16013,"Blaine County, Idaho",B01001_001,21329,NA
2010,16015,"Boise County, Idaho",B01001_001,7122,NA
2010,16017,"Bonner County, Idaho",B01001_001,40711,NA
2010,16019,"Bonneville County, Idaho",B01001_001,100213,NA
2010,16021,"Boundary County, Idaho",B01001_001,10792,NA
2010,16023,"Butte County, Idaho",B01001_001,2842,NA
2010,16025,"Camas County, Idaho",B01001_001,1216,111
2010,16027,"Canyon County, Idaho",B01001_001,182723,NA
2010,16029,"Caribou County, Idaho",B01001_001,6900,NA
2010,16031,"Cassia County, Idaho",B01001_001,22109,NA
2010,16033,"Clark County, Idaho",B01001_001,857,111
2010,16035,"Clearwater County, Idaho",B01001_001,8766,NA
2010,16037,"Custer County, Idaho",B01001_001,4277,NA
2010,16039,"Elmore County, Idaho",B01001_001,26669,NA
2010,16041,"Franklin County, Idaho",B01001_001,12497,NA
2010,16043,"Fremont County, Idaho",B01001_001,13062,NA
2010,16045,"Gem County, Idaho",B01001_001,16778,NA
2010,16047,"Gooding County, Idaho",B01001_001,15140,NA
2010,16049,"Idaho County, Idaho",B01001_001,15947,NA
2010,16051,"Jefferson County, Idaho",B01001_001,24523,NA
2010,16053,"Jerome County, Idaho",B01001_001,21282,NA
2010,16055,"Kootenai County, Idaho",B01001_001,134851,NA
2010,16057,"Latah County, Idaho",B01001_001,36645,NA
2010,16059,"Lemhi County, Idaho",B01001_001,7861,NA
2010,16061,"Lewis County, Idaho",B01001_001,3761,NA
2010,16063,"Lincoln County, Idaho",B01001_001,5021,NA
2010,16065,"Madison County, Idaho",B01001_001,36413,NA
2010,16067,"Minidoka County, Idaho",B01001_001,19524,NA
2010,16069,"Nez Perce County, Idaho",B01001_001,38886,NA
2010,16071,"Oneida County, Idaho",B01001_001,4212,NA
2010,16073,"Owyhee County, Idaho",B01001_001,11389,NA
2010,16075,"Payette County, Idaho",B01001_001,22451,NA
2010,16077,"Power County, Idaho",B01001_001,7633,NA
2010,16079,"Shoshone County, Idaho",B01001_001,12917,NA
2010,16081,"Teton County, Idaho",B01001_001,9413,NA
2010,16083,"Twin Falls County, Idaho",B01001_001,74929,NA
2010,16085,"Valley County, Idaho",B01001_001,9846,NA
2010,16087,"Washington County, Idaho",B01001_001,10105,NA
2011,16001,"Ada County, Idaho",B01001_001,388174,NA
2011,16003,"Adams County, Idaho",B01001_001,3980,NA
2011,16005,"Bannock County, Idaho",B01001_001,81730,NA
2011,16007,"Bear Lake County, Idaho",B01001_001,6013,NA
2011,16009,"Benewah County, Idaho",B01001_001,9293,NA
2011,16011,"Bingham County, Idaho",B01001_001,45002,NA
2011,16013,"Blaine County, Idaho",B01001_001,21354,NA
2011,16015,"Boise County, Idaho",B01001_001,7094,NA
2011,16017,"Bonner County, Idaho",B01001_001,40849,NA
2011,16019,"Bonneville County, Idaho",B01001_001,102422,NA
2011,16021,"Boundary County, Idaho",B01001_001,10845,NA
2011,16023,"Butte County, Idaho",B01001_001,2848,NA
2011,16025,"Camas County, Idaho",B01001_001,1235,123
2011,16027,"Canyon County, Idaho",B01001_001,186620,NA
2011,16029,"Caribou County, Idaho",B01001_001,6893,NA
2011,16031,"Cassia County, Idaho",B01001_001,22491,NA
2011,16033,"Clark County, Idaho",B01001_001,847,123
2011,16035,"Clearwater County, Idaho",B01001_001,8753,NA
2011,16037,"Custer County, Idaho",B01001_001,4313,NA
2011,16039,"Elmore County, Idaho",B01001_001,26744,NA
2011,16041,"Franklin County, Idaho",B01001_001,12650,NA
2011,16043,"Fremont County, Idaho",B01001_001,13133,NA
2011,16045,"Gem County, Idaho",B01001_001,16783,NA
2011,16047,"Gooding County, Idaho",B01001_001,15285,NA
2011,16049,"Idaho County, Idaho",B01001_001,16108,NA
2011,16051,"Jefferson County, Idaho",B01001_001,25291,NA
2011,16053,"Jerome County, Idaho",B01001_001,21794,NA
2011,16055,"Kootenai County, Idaho",B01001_001,137178,NA
2011,16057,"Latah County, Idaho",B01001_001,36932,NA
2011,16059,"Lemhi County, Idaho",B01001_001,7895,NA
2011,16061,"Lewis County, Idaho",B01001_001,3785,NA
2011,16063,"Lincoln County, Idaho",B01001_001,5106,NA
2011,16065,"Madison County, Idaho",B01001_001,36984,NA
2011,16067,"Minidoka County, Idaho",B01001_001,19740,NA
2011,16069,"Nez Perce County, Idaho",B01001_001,39088,NA
2011,16071,"Oneida County, Idaho",B01001_001,4225,NA
2011,16073,"Owyhee County, Idaho",B01001_001,11449,NA
2011,16075,"Payette County, Idaho",B01001_001,22596,NA
2011,16077,"Power County, Idaho",B01001_001,7671,NA
2011,16079,"Shoshone County, Idaho",B01001_001,12849,NA
2011,16081,"Teton County, Idaho",B01001_001,9786,NA
2011,16083,"Twin Falls County, Idaho",B01001_001,76129,NA
2011,16085,"Valley County, Idaho",B01001_001,9877,NA
2011,16087,"Washington County, Idaho",B01001_001,10153,NA
2012,16001,"Ada County, Idaho",B01001_001,394961,NA
2012,16003,"Adams County, Idaho",B01001_001,3976,NA
2012,16005,"Bannock County, Idaho",B01001_001,82584,NA
2012,16007,"Bear Lake County, Idaho",B01001_001,5977,NA
2012,16009,"Benewah County, Idaho",B01001_001,9247,NA
2012,16011,"Bingham County, Idaho",B01001_001,45312,NA
2012,16013,"Blaine County, Idaho",B01001_001,21323,NA
2012,16015,"Boise County, Idaho",B01001_001,7014,NA
2012,16017,"Bonner County, Idaho",B01001_001,40806,NA
2012,16019,"Bonneville County, Idaho",B01001_001,104177,NA
2012,16021,"Boundary County, Idaho",B01001_001,10857,NA
2012,16023,"Butte County, Idaho",B01001_001,2828,NA
2012,16025,"Camas County, Idaho",B01001_001,1276,127
2012,16027,"Canyon County, Idaho",B01001_001,189396,NA
2012,16029,"Caribou County, Idaho",B01001_001,6872,NA
