danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.698,0.633,G#,-4.946,major,0.0597,0.0605,1.94e-4,0.0926,0.552,96.924,3GCdLUSnKSMJhs4Tj6CV3s,232187,4,G# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/2bd50294b0b2874d3182fa31a6fb825784e6e395
0.788,0.675,G,-8.591,minor,0.0318,0.0616,0.711,0.1,0.525,107.993,2rvo9Ddv18aRV0OJldhWTf,264736,4,G minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Goodnight Moon,Boogie Belgique,Volta,https://i.scdn.co/image/17637e96b28f9a65da871a5ff60ec30e573030aa
0.602,0.597,G,-8.638,major,0.0276,0.337,0.139,0.0854,0.492,129.964,7xcNyuhyx9Wdtdltu96t7J,129914,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Possible Deaths,Typhoon,White Lighter,https://i.scdn.co/image/6864ac44bae728609c554384c1089472416287b1
0.494,0.579,C#,-6.513,major,0.0323,0.126,1.79e-6,0.181,0.181,87.937,7fBRThswHqbzvIwL65hcPx,209067,4,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Signal,Sylvan Esso,What Now,https://i.scdn.co/image/1f68b69e2fdbb7659575b402525285206c68dbf8
0.359,0.527,G,-16.161,major,0.0702,0.0916,0.591,0.0806,0.0386,147.251,694Eucsg6ph03r1JeyrKC5,168680,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Resurrection,Matteo Zingales,Fahrenheit 451 (Music From the HBO Film),https://i.scdn.co/image/8993ba38c7c35c6cf8c75f6ff2089e0fc4f0c557
0.684,0.35,D,-10.939,major,0.039,0.809,0.0837,0.093,0.341,89.997,4thSyFvS3TQp5lt4x4aG4t,167539,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Hands - Pool Cosby Remix,Tiger Darrow,Hands (Pool Cosby Remix),https://i.scdn.co/image/1653e7c5bc577ffc93f382eac4844676d9405599
0.566,0.24,F,-16.564,major,0.0359,0.622,0.924,0.0896,0.0395,150.013,2D9e8RR1M7spCbt6HwOoF4,362336,4,F major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Awe,Helios,Remembrance,https://i.scdn.co/image/61c349f85021242937d73f867312406d8065212a
0.893,0.582,G#,-8.087,major,0.15,0.2,0.0248,0.0749,0.761,99.988,4eQKQ5ZO4UlSUzskVqFU0d,280413,4,G# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Lullaby,Proleter,Bubbles,https://i.scdn.co/image/b779fa375d3b69f4034e7644861acf7da7c6b279
0.432,0.947,D,-5.442,major,0.0945,0.00389,0.711,0.0777,0.382,147.97,3ysiD7ZgsPc3xgGJ59DpS7,271533,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Day I Die,The National,Sleep Well Beast,https://i.scdn.co/image/d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7
0.705,0.751,G,-4.767,major,0.287,0.0598,2.51e-6,0.907,0.819,80.727,1UJNbgfTzG1gZZTWFJdMf1,174867,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz,Plastic Beach,https://i.scdn.co/image/94c124dd9812e03e8d21de9a05bbee08ad60ed91
0.368,0.567,C#,-7.849,major,0.0559,0.0882,0,0.087,0.0667,132.007,5AggBpw0ro0Vm9sUBFL2JM,235929,3,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Skin,WebsterX,Daymares,https://i.scdn.co/image/3fff951f32476ab451f23ccb11cd27580d9e78e6
0.624,0.52,E,-4.4,major,0.0362,0.00197,5.22e-6,0.126,0.498,73.003,439ue6BnErB9MfHMU9zIio,238787,4,E major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Redshift,Darwin Deez,Songs for Imaginative People,https://i.scdn.co/image/810c5a441f2c5d2e9781c945542eacd02754b730
0.655,0.506,G,-5.699,major,0.0253,0.101,0.928,0.107,0.207,93.971,0RT5QxvDakfy5cFg55thUw,279893,4,G major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,"Being No One, Going Nowhere",STRFKR,"Being No One, Going Nowhere",https://i.scdn.co/image/632cd7f0f1a23dd56bacc9b3cda30b7a8d64a4b1
0.607,0.455,E,-6.635,major,0.0335,0.307,0.0864,0.592,0.316,96.929,1rjZcJaoQMXY2sGfPAZ7K8,256934,4,E major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Rorschach,Typhoon,Offerings,https://i.scdn.co/image/8eba1bb4c98cbb68637f2ff1b03cfc93f91afb8b
0.689,0.642,E,-11.697,minor,0.045,0.292,0.87,0.173,0.173,136.977,1Z5GCYgzsBxb9VUUVQRG2E,258510,4,E minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Source,Tycho,Epoch,https://i.scdn.co/image/638bcdbe536ee0d427f6f5797e31687bb07a10a5
0.645,0.188,F#,-19.37,major,0.0377,0.546,0.836,0.0952,0.0748,119.999,3cIG78oBauowzEbkBwWADN,416333,4,F# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,They Move on Tracks of Never-Ending Light,This Will Destroy You,S/T,https://i.scdn.co/image/1da58dce8130ba8054ab7d5b2acac39a38cf8c23
0.646,0.464,C,-15.188,major,0.0317,0.0696,0.869,0.113,0.0429,114.991,2zqngf12oAjbB3hClo7kha,254055,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Amble,Edamame,Nightlights,https://i.scdn.co/image/edfda7276e50b04c1da52e35ce50b1b34af8e5bc
