danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.454,0.663,F,-8.54,major,0.0415,0.407,0.0466,0.0913,0.463,173.988,0QEHU0ZccfSXYUpF2iVUab,285533,4,F major
0.432,0.947,D,-5.442,major,0.0945,0.00389,0.711,0.0777,0.382,147.97,3ysiD7ZgsPc3xgGJ59DpS7,271533,4,D major
0.365,0.797,A#,-5.864,major,0.0339,0.13,0.00594,0.292,0.208,153.25,49sm72U5rx2JAj9nI7SxEx,306560,3,A# major
0.645,0.188,F#,-19.37,major,0.0377,0.546,0.836,0.0952,0.0748,119.999,3cIG78oBauowzEbkBwWADN,416333,4,F# major
0.684,0.35,D,-10.939,major,0.039,0.809,0.0837,0.093,0.341,89.997,4thSyFvS3TQp5lt4x4aG4t,167539,4,D major
0.602,0.597,G,-8.638,major,0.0276,0.337,0.139,0.0854,0.492,129.964,7xcNyuhyx9Wdtdltu96t7J,129914,4,G major
0.607,0.455,E,-6.635,major,0.0335,0.307,0.0864,0.592,0.316,96.929,1rjZcJaoQMXY2sGfPAZ7K8,256934,4,E major
0.375,0.711,A,-4.574,major,0.0373,0.0739,1.49e-4,0.157,0.424,123.412,6mQCqK9peWQLiCtie0kGiV,270016,4,A major
0.642,0.623,E,-5.217,minor,0.0292,0.691,0,0.0706,0.327,134.932,2SBFyml6gSXByXMRfW6UYi,248e3,4,E minor
0.306,0.763,G,-5.768,major,0.0471,0.0345,0.0152,0.182,0.18,101.154,2eTioKDu4klzCrcceLOn5d,147502,4,G major
0.149,0.124,G,-22.607,minor,0.041,0.811,0.311,0.211,0.103,86.906,5ynPIIbdGo2OBoX9vcnUo5,271480,4,G minor
0.58,0.842,D,-6.406,major,0.0487,0.074,0.239,0.0746,0.383,106.966,1rBO7O2kX5FZPMCOlXHMaH,279827,4,D major
0.788,0.675,G,-8.591,minor,0.0318,0.0616,0.711,0.1,0.525,107.993,2rvo9Ddv18aRV0OJldhWTf,264736,4,G minor
0.893,0.582,G#,-8.087,major,0.15,0.2,0.0248,0.0749,0.761,99.988,4eQKQ5ZO4UlSUzskVqFU0d,280413,4,G# major
0.602,0.792,D,-8.463,major,0.0331,0.146,0.887,0.118,0.345,93.743,7xNpCuqDKASx2f64nkhzNm,318027,4,D major
0.689,0.642,E,-11.697,minor,0.045,0.292,0.87,0.173,0.173,136.977,1Z5GCYgzsBxb9VUUVQRG2E,258510,4,E minor
0.25,0.288,C,-14.341,major,0.0323,0.693,0.824,0.102,0.324,147.243,3ozCQsJ9IA0v3ZlpE21UzK,160108,4,C major
0.488,0.872,A,-7.642,minor,0.034,0.00148,0.338,0.0885,0.529,131.207,3T3Q1rJEms0FbFujPcjiP7,235691,4,A minor
0.48,0.52,D#,-9.529,major,0.0419,0.164,0.00168,0.102,0.114,75.493,0iByHgOtRyd96SFdlXP2Xc,306773,4,D# major
0.52,0.49,D,-7.144,major,0.0455,0.229,0.234,0.0886,0.428,190.378,30lXd6GBXld0XQyOKE1Ku9,160821,4,D major
0.801,0.546,B,-7.256,major,0.132,0.28,0.929,0.141,0.902,94,04KsMCb9PZE2S0AtUU8Jhb,275751,4,B major
