playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img
sad/moody things,0ZJY7ekXWqhIVrHGhbvJnp,https://api.spotify.com/v1/users/amateurthoughts/playlists/0ZJY7ekXWqhIVrHGhbvJnp/tracks,12,MTYsYWQ3MDYzY2E2YzBkZDM1MjdmNGE2NTRkNDI1NzNjZjU0ODEwNGFlNQ==,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262
August '18,0Ey1SZ9vpUVLETW7aywKVJ,https://api.spotify.com/v1/users/amateurthoughts/playlists/0Ey1SZ9vpUVLETW7aywKVJ/tracks,24,MzEsZjkwOGYzYmNkMDM3ZTk1MjgzMDVlYjU5MjY3NDJjZmJiZjlmYjM4Nw==,https://mosaic.scdn.co/640/17637e96b28f9a65da871a5ff60ec30e573030aa638bcdbe536ee0d427f6f5797e31687bb07a10a5b779fa375d3b69f4034e7644861acf7da7c6b279c515c50b745dc1b30de73f2e47ea34e281e9d35e
July '18,22E5WsLuMSchdHHl1vsONh,https://api.spotify.com/v1/users/amateurthoughts/playlists/22E5WsLuMSchdHHl1vsONh/tracks,26,MzgsOGQwNzVlN2Y4ZjhlNDZlMjVjOTU0ZDhmM2E3NmU0MGNjMDViOTBkOA==,https://mosaic.scdn.co/640/02b58e6d7209874a64ae1e990a8ec9c1ab442aeb85474eed2da5e74c4c8ea543c995d90a15eff468ab29da66e7e38c7dc092bb7fdab796873ff8ff80fac41d98ddbdcf5cd07b6f1ced8f6032e9e0a284
June '18,1G86mmfAF3T38W39OOy3G9,https://api.spotify.com/v1/users/amateurthoughts/playlists/1G86mmfAF3T38W39OOy3G9/tracks,44,NjMsMjA1M2EyNDBhYzJmZGM2MGM5Y2VmYmUxNWE5NDRmMGNiMTllYWMxMQ==,https://mosaic.scdn.co/640/1653e7c5bc577ffc93f382eac4844676d94055997177077c7101dc70913768b09f42ac73d6b968a1c8eafa550f5ce5bf54fa68a615bde6e0c18c13c4cb7b2be1a2019a42f0e9dbbb7b778970ce61714b
May '18,453kWvyippo2lB1CLemvZ3,https://api.spotify.com/v1/users/amateurthoughts/playlists/453kWvyippo2lB1CLemvZ3/tracks,49,NTIsZjhkNmExZmZjYjdlMjZkNWRjMWViMzk5MTBiZTM2ODM1Y2Q2YTZmNA==,https://mosaic.scdn.co/640/2b63db08f5f4261d411080910d227dfac5554d4586eee01c32785fb1a51425e8c311f07446af331fb1d68d33c0357d3eab0ee134f150910cdfc18adbc525004710cacb7cb6b5c652000249d103820a84
April '18,4NwH5Rz0UKTgmthKEz1om8,https://api.spotify.com/v1/users/amateurthoughts/playlists/4NwH5Rz0UKTgmthKEz1om8/tracks,54,NTksNGE4MGYzMWQ4MTA2NWU2YzdhNjMxZTYyYjI4ZTA4NDk5NjhhNTZkMA==,https://mosaic.scdn.co/640/16cdfde16404ad6e09f9acfdff878fba60a4dcb58eba1bb4c98cbb68637f2ff1b03cfc93f91afb8bb86323167bfa976d55154aaa2aff24616eb0ef1cf1639e740db7ba9394312aa1c4ea8345cbcc2c35
March '18,6GnxVuV3s8m4tqKAPoRNx0,https://api.spotify.com/v1/users/amateurthoughts/playlists/6GnxVuV3s8m4tqKAPoRNx0/tracks,26,MzMsNGQ1NjQ2OGUyZTRmYjVmZjdlMWViNzg4N2FjYWUwM2VkNGVhZDgxNw==,https://mosaic.scdn.co/640/2bd50294b0b2874d3182fa31a6fb825784e6e3955257b54643e195adcb7417666a3b79ece17010518eba1bb4c98cbb68637f2ff1b03cfc93f91afb8baf1d27c30fbbb1b2afb605e893f7401acc1ca52d
February '18,6QAGGBvO1Me8NDbVPaoE3D,https://api.spotify.com/v1/users/amateurthoughts/playlists/6QAGGBvO1Me8NDbVPaoE3D/tracks,34,MzUsZWIxZTMxMGEyMzM0NTI2Y2ZjNWE2ZjcxYzIwZDFlNDFmYmNmN2RhZA==,https://mosaic.scdn.co/640/22148b86fe73259f8fd1e719ccff145259cf926523025f019240a58d6bcc5485f97e07a71cba90c48a2e541e947cb52c025dcaf7082f4b0675292c13cafc7617bcee3d8b8aa65b7f8d00b7ded199a34f
January '18,6Jq1jFbSVoEb2jFSAfQChy,https://api.spotify.com/v1/users/amateurthoughts/playlists/6Jq1jFbSVoEb2jFSAfQChy/tracks,22,MjMsMDFiNjRmNzcwODIyZTc4MDc1NGMxMjMxODBiNjFhOTMwYjcyNmJlOA==,https://mosaic.scdn.co/640/1cc2c9e3bf5f50c2ce8d170e4376775ca931b31a876e3808711f9b2b28567971a4f5221cf8b77d24d77c5cfcbe77347726f76f1adaa9184763e2ebb7e2801d42e09f8a06300bb10645242216d91af17a
December '17,4FLBOHATG2yTeOy048qkw4,https://api.spotify.com/v1/users/amateurthoughts/playlists/4FLBOHATG2yTeOy048qkw4/tracks,40,NDMsNmJhZmVkMDdkN2M5ZjFjN2FhYTgwMTE5NGE0OGNiNDUyYjhiMmJiMA==,https://mosaic.scdn.co/640/06a7f7915004d62678efbca265fddb4762c21dbe38dc364c1ab6ff7e3327a2a5e3ec9c59d88d1242b95e008fb8ed332646e728b0db75b4786c7b71daf9b3fc8fc3536d2e79ae5a4d14c869146a9883aa
