playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Don't Swallow the Cap,0QEHU0ZccfSXYUpF2iVUab,The National,Trouble Will Find Me,https://i.scdn.co/image/f76c15133710b5ef4ccf37039c57382ced66c262,2018-08-01T00:27:20Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Day I Die,3ysiD7ZgsPc3xgGJ59DpS7,The National,Sleep Well Beast,https://i.scdn.co/image/d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7,2018-08-01T00:27:25Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Good Arms vs Bad Arms,49sm72U5rx2JAj9nI7SxEx,Frightened Rabbit,The Midnight Organ Fight,https://i.scdn.co/image/26f52fbc64502e8b1177eaf3bbe4e14aa3291430,2018-08-01T00:28:07Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,They Move on Tracks of Never-Ending Light,3cIG78oBauowzEbkBwWADN,This Will Destroy You,S/T,https://i.scdn.co/image/1da58dce8130ba8054ab7d5b2acac39a38cf8c23,2018-08-01T00:28:24Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Hands - Pool Cosby Remix,4thSyFvS3TQp5lt4x4aG4t,Tiger Darrow,Hands (Pool Cosby Remix),https://i.scdn.co/image/1653e7c5bc577ffc93f382eac4844676d9405599,2018-08-01T00:28:46Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Possible Deaths,7xcNyuhyx9Wdtdltu96t7J,Typhoon,White Lighter,https://i.scdn.co/image/16cdfde16404ad6e09f9acfdff878fba60a4dcb5,2018-08-01T00:28:53Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Rorschach,1rjZcJaoQMXY2sGfPAZ7K8,Typhoon,Offerings,https://i.scdn.co/image/8eba1bb4c98cbb68637f2ff1b03cfc93f91afb8b,2018-08-01T00:28:58Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Remember,6mQCqK9peWQLiCtie0kGiV,Typhoon,Offerings,https://i.scdn.co/image/8eba1bb4c98cbb68637f2ff1b03cfc93f91afb8b,2018-08-01T00:28:59Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Sleeping Sickness,2SBFyml6gSXByXMRfW6UYi,City and Colour,Bring Me Your Love,https://i.scdn.co/image/ffc5e3e37e5666c741bcb9dca11869481a84aaa2,2018-08-01T00:31:35Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,Harvard,2eTioKDu4klzCrcceLOn5d,Diet Cig,Over Easy,https://i.scdn.co/image/3812b341146fe0883f533f3a751d882dacc48338,2018-08-01T00:32:02Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,The Gravel Road - Score,5ynPIIbdGo2OBoX9vcnUo5,James Newton Howard,The Village,https://i.scdn.co/image/d7ac9b1929b588c7f3c4346664d7e33aae32fedb,2018-08-01T00:27:39Z
sad/moody things,https://mosaic.scdn.co/640/1da58dce8130ba8054ab7d5b2acac39a38cf8c2326f52fbc64502e8b1177eaf3bbe4e14aa3291430d2efe4a0f3e05f9900b3865dce98d10fbeaba0b7f76c15133710b5ef4ccf37039c57382ced66c262,The Oil Slick,1rBO7O2kX5FZPMCOlXHMaH,Frightened Rabbit,Pedestrian Verse,https://i.scdn.co/image/816d48bf56fb39cd0456b48f1f0b61340aeba37c,2018-08-01T00:41:58Z
August '18,https://mosaic.scdn.co/640/17637e96b28f9a65da871a5ff60ec30e573030aa638bcdbe536ee0d427f6f5797e31687bb07a10a5b779fa375d3b69f4034e7644861acf7da7c6b279c515c50b745dc1b30de73f2e47ea34e281e9d35e,Goodnight Moon,2rvo9Ddv18aRV0OJldhWTf,Boogie Belgique,Volta,https://i.scdn.co/image/17637e96b28f9a65da871a5ff60ec30e573030aa,2018-07-31T22:56:08Z
August '18,https://mosaic.scdn.co/640/17637e96b28f9a65da871a5ff60ec30e573030aa638bcdbe536ee0d427f6f5797e31687bb07a10a5b779fa375d3b69f4034e7644861acf7da7c6b279c515c50b745dc1b30de73f2e47ea34e281e9d35e,Lullaby,4eQKQ5ZO4UlSUzskVqFU0d,Proleter,Bubbles,https://i.scdn.co/image/b779fa375d3b69f4034e7644861acf7da7c6b279,2018-07-31T22:54:34Z
August '18,https://mosaic.scdn.co/640/17637e96b28f9a65da871a5ff60ec30e573030aa638bcdbe536ee0d427f6f5797e31687bb07a10a5b779fa375d3b69f4034e7644861acf7da7c6b279c515c50b745dc1b30de73f2e47ea34e281e9d35e,Imaginary Folklore,7xNpCuqDKASx2f64nkhzNm,clammbon,2nd Collection,https://i.scdn.co/image/c515c50b745dc1b30de73f2e47ea34e281e9d35e,2018-07-31T21:27:02Z
August '18,https://mosaic.scdn.co/640/17637e96b28f9a65da871a5ff60ec30e573030aa638bcdbe536ee0d427f6f5797e31687bb07a10a5b779fa375d3b69f4034e7644861acf7da7c6b279c515c50b745dc1b30de73f2e47ea34e281e9d35e,Source,1Z5GCYgzsBxb9VUUVQRG2E,Tycho,Epoch,https://i.scdn.co/image/638bcdbe536ee0d427f6f5797e31687bb07a10a5,2018-07-31T21:30:59Z
