state,pop13,georegion
 Massachusetts,6692824,NEng
 Connecticut,3596080,NEng
 Maine,1328302,NEng
 New Hampshire,1323459,NEng
 Rhode Island,1051511,NEng
 Vermont,626630,NEng
       New England,14618806,NEast
 New York,19651127,MAtl
 Pennsylvania,12773801,MAtl
 New Jersey,8899339,MAtl
       Mid-Atlantic,41324267,NEast
       Northeast,55943073,USA
 Florida,19552860,SAtl
 Georgia,9992167,SAtl
 North Carolina,9848060,SAtl
 Virginia,8260405,SAtl
 Maryland,5928814,SAtl
 South Carolina,4774839,SAtl
 West Virginia,1854304,SAtl
 Delaware,925749,SAtl
 District of Columbia,646449,SAtl
       South Atlantic,61783647,South
 Tennessee,6495978,ESC
 Alabama,4833722,ESC
 Kentucky,4395295,ESC
 Mississippi,2991207,ESC
       East South Central,18716202,South
 Texas,26448193,WSC
 Louisiana,4625470,WSC
 Oklahoma,3850568,WSC
 Arkansas,2959373,WSC
       West South Central,37883604,South
       South,118383453,USA
 Illinois,12882135,ENC
 Ohio,11570808,ENC
 Michigan,9895622,ENC
 Indiana,6570902,ENC
 Wisconsin,5742713,ENC
       East North Central,46662180,MWest
 Missouri,6044171,WNC
 Minnesota,5420380,WNC
 Iowa,3090416,WNC
 Kansas,2893957,WNC
 Nebraska,1868516,WNC
 South Dakota,844877,WNC
  North Dakota,723393,WNC
       West North Central,20885710,MWest
       Midwest,67547890,USA
 Arizona,6626624,Mtn
 Colorado,5268367,Mtn
 Utah,2900872,Mtn
 Nevada,2790136,Mtn
 New Mexico,2085287,Mtn
 Idaho,1612136,Mtn
 Montana,1015165,Mtn
 Wyoming,582658,Mtn
       Mountain,22881245,West
 California,38332521,Pac
 Washington,6971406,Pac
 Oregon,3930065,Pac
 Hawaii,1404054,Pac
 Alaska,735132,Pac
       Pacific,51373178,West
       West,74254423,USA
 50 states and D.C.,316128839,NAmer
 Puerto Rico,3615086,Terr.
 Guam,,Terr.
 U.S. Virgin Islands,,Terr.
 American Samoa,,Terr.
 Northern Mariana Islands,,Terr.
       Total Territories,,USA
