names,year,estimate
Alabama,1960,3266740.0
Alaska,1960,226167.0
Arizona,1960,1302161.0
Arkansas,1960,1786272.0
California,1960,15717204.0
Colorado,1960,1753947.0
Connecticut,1960,2535234.0
Delaware,1960,446292.0
District of Columbia,1960,763956.0
Florida,1960,4951560.0
Georgia,1960,3943116.0
Hawaii,1960,632772.0
Idaho,1960,667191.0
Illinois,1960,10081158.0
Indiana,1960,4662498.0
Iowa,1960,2757537.0
Kansas,1960,2178611.0
Kentucky,1960,3038156.0
Louisiana,1960,3257022.0
Maine,1960,969265.0
Maryland,1960,3100689.0
Massachusetts,1960,5148578.0
Michigan,1960,7823194.0
Minnesota,1960,3413864.0
Mississippi,1960,2178141.0
Missouri,1960,4319813.0
Montana,1960,674767.0
Nebraska,1960,1411330.0
Nevada,1960,285278.0
New Hampshire,1960,606921.0
New Jersey,1960,6066782.0
New Mexico,1960,951023.0
New York,1960,16782304.0
North Carolina,1960,4556155.0
North Dakota,1960,632446.0
Ohio,1960,9706397.0
Oklahoma,1960,2328284.0
Oregon,1960,1768687.0
Pennsylvania,1960,11319366.0
Rhode Island,1960,859488.0
South Carolina,1960,2382594.0
South Dakota,1960,680514.0
Tennessee,1960,3567089.0
Texas,1960,9579677.0
Utah,1960,890627.0
Vermont,1960,389881.0
Virginia,1960,3966949.0
Washington,1960,2853214.0
West Virginia,1960,1860421.0
Wisconsin,1960,3951777.0
Wyoming,1960,330066.0
Alabama,1970,3444165.0
Alaska,1970,300382.0
Arizona,1970,1770900.0
Arkansas,1970,1923295.0
California,1970,19953134.0
Colorado,1970,2207259.0
Connecticut,1970,3031709.0
Delaware,1970,548104.0
District of Columbia,1970,756510.0
Florida,1970,6789443.0
Georgia,1970,4589575.0
Hawaii,1970,768561.0
Idaho,1970,712567.0
Illinois,1970,11113976.0
Indiana,1970,5193669.0
Iowa,1970,2824376.0
Kansas,1970,2246578.0
Kentucky,1970,3218706.0
Louisiana,1970,3641306.0
Maine,1970,992048.0
Maryland,1970,3922399.0
Massachusetts,1970,5689170.0
Michigan,1970,8875083.0
Minnesota,1970,3804971.0
Mississippi,1970,2216912.0
Missouri,1970,4676501.0
Montana,1970,694409.0
Nebraska,1970,1483493.0
Nevada,1970,488738.0
