state,sample_size,e,a,c,n,o
Alabama,27690,55.5,52.7,55.5,48.7,42.7
Arizona,33569,50.6,46.6,58.4,38.1,54.7
Arkansas,13941,49.9,52.7,41.0,56.2,40.3
California,177085,51.4,49.0,43.2,39.1,65.0
Colorado,28995,45.3,47.5,58.8,34.3,57.9
Connecticut,17769,57.6,38.6,34.2,53.4,53.9
Delaware,4957,47.0,38.8,36.5,62.4,42.7
District of Columbia,6774,64.8,21.4,44.1,41.6,77.5
Florida,81002,60.9,50.7,62.7,40.8,61.0
Georgia,52631,63.2,60.0,68.8,38.0,56.9
Idaho,9314,40.7,52.9,44.5,44.2,44.7
Illinois,72011,62.5,48.3,50.9,51.2,55.2
Indiana,36483,48.9,50.2,56.2,59.3,44.9
Iowa,19821,62.8,56.6,52.2,49.1,33.7
Kansas,18039,45.5,48.9,50.8,49.0,40.1
Kentucky,21791,53.4,48.1,51.3,62.5,43.0
Louisiana,17414,52.2,49.7,45.0,60.4,53.7
Maine,8963,44.2,32.8,24.0,71.0,50.8
Maryland,30568,35.2,37.3,37.5,49.4,56.6
Massachusetts,38270,44.4,40.7,32.2,63.8,59.6
Michigan,59221,55.2,54.7,53.0,48.6,43.4
Minnesota,38597,52.9,61.6,52.5,43.4,38.5
Mississippi,10479,56.8,63.3,59.7,52.0,46.2
Missouri,34558,62.9,59.3,60.8,48.3,45.7
Montana,5052,33.1,52.3,56.1,43.0,55.0
Nebraska,12102,60.0,62.9,64.3,41.6,34.3
Nevada,10196,46.4,31.8,55.8,44.0,61.3
New Hampshire,8076,40.2,53.5,38.0,61.8,48.7
New Jersey,39549,59.9,44.6,40.8,56.4,57.6
New Mexico,9408,32.4,45.4,58.5,51.6,62.0
New York,86855,47.0,29.8,37.7,62.7,64.5
North Carolina,45940,51.0,63.6,68.4,44.8,49.6
North Dakota,4808,52.4,52.4,51.4,49.6,21.8
Ohio,61683,54.6,45.9,46.5,58.5,46.0
Oklahoma,19515,39.7,54.3,54.7,52.1,42.2
Oregon,25403,30.9,59.1,45.8,39.5,58.8
Pennsylvania,67938,54.6,42.8,52.4,61.4,49.6
Rhode Island,5322,43.3,35.2,48.5,61.9,59.4
South Carolina,17375,60.0,55.4,69.6,45.7,55.3
South Dakota,4581,58.7,56.7,55.8,36.1,41.9
Tennessee,29738,51.3,66.6,62.0,49.0,50.1
Texas,116094,55.2,52.3,54.4,44.3,52.7
Utah,20715,55.8,69.4,54.5,30.4,47.7
Vermont,4118,26.5,60.0,38.2,55.8,54.2
Virginia,45898,48.5,47.4,45.3,44.7,57.1
Washington,44150,30.6,55.8,45.0,36.9,56.6
West Virginia,8349,38.5,51.8,42.6,79.2,36.8
Wisconsin,40731,69.8,57.8,47.6,48.6,35.7
Wyoming,3166,46.0,40.7,42.4,46.1,42.4
