gutenberg_id,text
35,"The Time Machine, by H. G. Wells [1898]"
35,
35,
35,
35,
35,I
35,
35,
35,The Time Traveller (for so it will be convenient to speak of him)
35,was expounding a recondite matter to us. His grey eyes shone and
35,"twinkled, and his usually pale face was flushed and animated. The"
35,"fire burned brightly, and the soft radiance of the incandescent"
35,lights in the lilies of silver caught the bubbles that flashed and
35,"passed in our glasses. Our chairs, being his patents, embraced and"
35,"caressed us rather than submitted to be sat upon, and there was that"
35,luxurious after-dinner atmosphere when thought roams gracefully
35,free of the trammels of precision. And he put it to us in this
35,way--marking the points with a lean forefinger--as we sat and lazily
35,admired his earnestness over this new paradox (as we thought it)
35,and his fecundity.
35,
35,'You must follow me carefully. I shall have to controvert one or two
35,"ideas that are almost universally accepted. The geometry, for"
35,"instance, they taught you at school is founded on a misconception.'"
35,
35,'Is not that rather a large thing to expect us to begin upon?'
35,"said Filby, an argumentative person with red hair."
35,
35,'I do not mean to ask you to accept anything without reasonable
35,ground for it. You will soon admit as much as I need from you. You
35,"know of course that a mathematical line, a line of thickness _nil_,"
35,has no real existence. They taught you that? Neither has a
35,mathematical plane. These things are mere abstractions.'
35,
35,"'That is all right,' said the Psychologist."
35,
35,"'Nor, having only length, breadth, and thickness, can a cube have a"
35,real existence.'
35,
35,"'There I object,' said Filby. 'Of course a solid body may exist. All"
35,real things--'
35,
35,'So most people think. But wait a moment. Can an _instantaneous_
35,cube exist?'
35,
35,"'Don't follow you,' said Filby."
35,
35,"'Can a cube that does not last for any time at all, have a real"
35,existence?'
35,
35,"Filby became pensive. 'Clearly,' the Time Traveller proceeded, 'any"
35,real body must have extension in _four_ directions: it must have
35,"Length, Breadth, Thickness, and--Duration. But through a natural"
35,"infirmity of the flesh, which I will explain to you in a moment, we"
35,"incline to overlook this fact. There are really four dimensions,"
35,"three which we call the three planes of Space, and a fourth, Time."
35,"There is, however, a tendency to draw an unreal distinction between"
35,"the former three dimensions and the latter, because it happens that"
35,our consciousness moves intermittently in one direction along the
35,latter from the beginning to the end of our lives.'
35,
35,"'That,' said a very young man, making spasmodic efforts to relight"
35,his cigar over the lamp; 'that ... very clear indeed.'
35,
35,"'Now, it is very remarkable that this is so extensively overlooked,'"
35,"continued the Time Traveller, with a slight accession of"
35,"cheerfulness. 'Really this is what is meant by the Fourth Dimension,"
35,though some people who talk about the Fourth Dimension do not know
35,they mean it. It is only another way of looking at Time. _There is
35,no difference between Time and any of the three dimensions of Space
35,except that our consciousness moves along it_. But some foolish
35,people have got hold of the wrong side of that idea. You have all
35,heard what they have to say about this Fourth Dimension?'
35,
35,"'_I_ have not,' said the Provincial Mayor."
35,
35,"'It is simply this. That Space, as our mathematicians have it, is"
35,"spoken of as having three dimensions, which one may call Length,"
35,"Breadth, and Thickness, and is always definable by reference to"
35,"three planes, each at right angles to the others. But some"
35,philosophical people have been asking why _three_ dimensions
35,particularly--why not another direction at right angles to the other
35,three?--and have even tried to construct a Four-Dimension geometry.
35,Professor Simon Newcomb was expounding this to the New York
35,Mathematical Society only a month or so ago. You know how on a flat
35,"surface, which has only two dimensions, we can represent a figure of"
35,"a three-dimensional solid, and similarly they think that by models"
35,of three dimensions they could represent one of four--if they could
35,master the perspective of the thing. See?'
35,
35,"'I think so,' murmured the Provincial Mayor; and, knitting his"
35,"brows, he lapsed into an introspective state, his lips moving as one"
35,"who repeats mystic words. 'Yes, I think I see it now,' he said after"
35,"some time, brightening in a quite transitory manner."
35,
35,"'Well, I do not mind telling you I have been at work upon this"
35,geometry of Four Dimensions for some time. Some of my results
35,"are curious. For instance, here is a portrait of a man at eight"
35,"years old, another at fifteen, another at seventeen, another at"
35,"twenty-three, and so on. All these are evidently sections, as it"
35,"were, Three-Dimensional representations of his Four-Dimensioned"
35,"being, which is a fixed and unalterable thing."
35,
35,"'Scientific people,' proceeded the Time Traveller, after the pause"
35,"required for the proper assimilation of this, 'know very well that"
35,"Time is only a kind of Space. Here is a popular scientific diagram,"
35,a weather record. This line I trace with my finger shows the
35,"movement of the barometer. Yesterday it was so high, yesterday night"
35,"it fell, then this morning it rose again, and so gently upward to"
35,here. Surely the mercury did not trace this line in any of the
35,dimensions of Space generally recognized? But certainly it traced
35,"such a line, and that line, therefore, we must conclude was along"
35,the Time-Dimension.'
35,
35,"'But,' said the Medical Man, staring hard at a coal in the fire, 'if"
35,"Time is really only a fourth dimension of Space, why is it, and why"
35,"has it always been, regarded as something different? And why cannot"
35,we move in Time as we move about in the other dimensions of Space?'
35,
35,The Time Traveller smiled. 'Are you sure we can move freely in
35,"Space? Right and left we can go, backward and forward freely enough,"
35,and men always have done so. I admit we move freely in two
35,dimensions. But how about up and down? Gravitation limits us there.'
35,
35,"'Not exactly,' said the Medical Man. 'There are balloons.'"
35,
35,"'But before the balloons, save for spasmodic jumping and the"
35,"inequalities of the surface, man had no freedom of vertical"
35,movement.'
35,
35,"'Still they could move a little up and down,' said the Medical Man."
35,
35,"'Easier, far easier down than up.'"
35,
35,"'And you cannot move at all in Time, you cannot get away from the"
35,present moment.'
35,
35,"'My dear sir, that is just where you are wrong. That is just where"
35,the whole world has gone wrong. We are always getting away from the
35,"present moment. Our mental existences, which are immaterial and have"
35,"no dimensions, are passing along the Time-Dimension with a uniform"
35,velocity from the cradle to the grave. Just as we should travel _down_
35,if we began our existence fifty miles above the earth's surface.'
35,
35,"'But the great difficulty is this,' interrupted the Psychologist."
35,"'You _can_ move about in all directions of Space, but you cannot"
35,move about in Time.'
35,
35,'That is the germ of my great discovery. But you are wrong to say
35,"that we cannot move about in Time. For instance, if I am recalling"
35,an incident very vividly I go back to the instant of its occurrence:
35,"I become absent-minded, as you say. I jump back for a moment. Of"
35,"course we have no means of staying back for any length of Time, any"
35,more than a savage or an animal has of staying six feet above the
35,ground. But a civilized man is better off than the savage in this
35,"respect. He can go up against gravitation in a balloon, and why"
35,should he not hope that ultimately he may be able to stop or
35,"accelerate his drift along the Time-Dimension, or even turn about"
35,and travel the other way?'
35,
35,"'Oh, _this_,' began Filby, 'is all--'"
35,
35,'Why not?' said the Time Traveller.
35,
35,"'It's against reason,' said Filby."
35,
35,'What reason?' said the Time Traveller.
35,
35,"'You can show black is white by argument,' said Filby, 'but you will"
35,never convince me.'
35,
35,"'Possibly not,' said the Time Traveller. 'But now you begin to see"
35,the object of my investigations into the geometry of Four
35,Dimensions. Long ago I had a vague inkling of a machine--'
35,
35,'To travel through Time!' exclaimed the Very Young Man.
35,
35,"'That shall travel indifferently in any direction of Space and Time,"
35,as the driver determines.'
35,
35,Filby contented himself with laughter.
35,
35,"'But I have experimental verification,' said the Time Traveller."
35,
35,"'It would be remarkably convenient for the historian,' the"
35,Psychologist suggested. 'One might travel back and verify the
35,"accepted account of the Battle of Hastings, for instance!'"
35,
35,'Don't you think you would attract attention?' said the Medical Man.
35,'Our ancestors had no great tolerance for anachronisms.'
35,
35,"'One might get one's Greek from the very lips of Homer and Plato,'"
35,the Very Young Man thought.
35,
35,'In which case they would certainly plough you for the Little-go.
35,The German scholars have improved Greek so much.'
35,
35,"'Then there is the future,' said the Very Young Man. 'Just think!"
35,"One might invest all one's money, leave it to accumulate at"
35,"interest, and hurry on ahead!'"
35,
35,"'To discover a society,' said I, 'erected on a strictly communistic"
35,basis.'
35,
35,'Of all the wild extravagant theories!' began the Psychologist.
35,
35,"'Yes, so it seemed to me, and so I never talked of it until--'"
35,
35,'Experimental verification!' cried I. 'You are going to verify
35,_that_?'
35,
35,"'The experiment!' cried Filby, who was getting brain-weary."
35,
35,"'Let's see your experiment anyhow,' said the Psychologist, 'though"
35,"it's all humbug, you know.'"
35,
35,"The Time Traveller smiled round at us. Then, still smiling faintly,"
35,"and with his hands deep in his trousers pockets, he walked slowly"
35,"out of the room, and we heard his slippers shuffling down the long"
35,passage to his laboratory.
35,
35,The Psychologist looked at us. 'I wonder what he's got?'
35,
35,"'Some sleight-of-hand trick or other,' said the Medical Man, and"
35,Filby tried to tell us about a conjurer he had seen at Burslem; but
35,"before he had finished his preface the Time Traveller came back, and"
35,Filby's anecdote collapsed.
35,
35,The thing the Time Traveller held in his hand was a glittering
35,"metallic framework, scarcely larger than a small clock, and very"
35,"delicately made. There was ivory in it, and some transparent"
35,"crystalline substance. And now I must be explicit, for this that"
35,follows--unless his explanation is to be accepted--is an absolutely
35,unaccountable thing. He took one of the small octagonal tables that
35,"were scattered about the room, and set it in front of the fire, with"
35,two legs on the hearthrug. On this table he placed the mechanism.
35,"Then he drew up a chair, and sat down. The only other object on the"
35,"table was a small shaded lamp, the bright light of which fell upon"
35,"the model. There were also perhaps a dozen candles about, two in"
35,"brass candlesticks upon the mantel and several in sconces, so that"
35,the room was brilliantly illuminated. I sat in a low arm-chair
35,"nearest the fire, and I drew this forward so as to be almost between"
35,"the Time Traveller and the fireplace. Filby sat behind him, looking"
35,over his shoulder. The Medical Man and the Provincial Mayor watched
35,"him in profile from the right, the Psychologist from the left. The"
35,Very Young Man stood behind the Psychologist. We were all on the
35,"alert. It appears incredible to me that any kind of trick, however"
35,"subtly conceived and however adroitly done, could have been played"
35,upon us under these conditions.
35,
35,"The Time Traveller looked at us, and then at the mechanism. 'Well?'"
35,said the Psychologist.
35,
35,"'This little affair,' said the Time Traveller, resting his elbows"
35,"upon the table and pressing his hands together above the apparatus,"
35,'is only a model. It is my plan for a machine to travel through
35,"time. You will notice that it looks singularly askew, and that there"
35,"is an odd twinkling appearance about this bar, as though it was in"
35,"some way unreal.' He pointed to the part with his finger. 'Also,"
35,"here is one little white lever, and here is another.'"
35,
35,The Medical Man got up out of his chair and peered into the thing.
35,"'It's beautifully made,' he said."
35,
35,"'It took two years to make,' retorted the Time Traveller. Then, when"
35,"we had all imitated the action of the Medical Man, he said: 'Now I"
35,"want you clearly to understand that this lever, being pressed over,"
35,"sends the machine gliding into the future, and this other reverses"
35,the motion. This saddle represents the seat of a time traveller.
35,"Presently I am going to press the lever, and off the machine will"
35,"go. It will vanish, pass into future Time, and disappear. Have a"
35,"good look at the thing. Look at the table too, and satisfy"
35,"yourselves there is no trickery. I don't want to waste this model,"
35,and then be told I'm a quack.'
35,
35,There was a minute's pause perhaps. The Psychologist seemed about to
35,"speak to me, but changed his mind. Then the Time Traveller put forth"
35,"his finger towards the lever. 'No,' he said suddenly. 'Lend me your"
35,"hand.' And turning to the Psychologist, he took that individual's"
35,hand in his own and told him to put out his forefinger. So that it
35,was the Psychologist himself who sent forth the model Time Machine
35,on its interminable voyage. We all saw the lever turn. I am
35,absolutely certain there was no trickery. There was a breath of
35,"wind, and the lamp flame jumped. One of the candles on the mantel"
35,"was blown out, and the little machine suddenly swung round, became"
35,"indistinct, was seen as a ghost for a second perhaps, as an eddy of"
35,faintly glittering brass and ivory; and it was gone--vanished! Save
35,for the lamp the table was bare.
35,
35,Everyone was silent for a minute. Then Filby said he was damned.
35,
35,"The Psychologist recovered from his stupor, and suddenly looked"
35,under the table. At that the Time Traveller laughed cheerfully.
35,"'Well?' he said, with a reminiscence of the Psychologist. Then,"
35,"getting up, he went to the tobacco jar on the mantel, and with his"
35,back to us began to fill his pipe.
35,
35,"We stared at each other. 'Look here,' said the Medical Man, 'are you"
35,in earnest about this? Do you seriously believe that that machine
35,has travelled into time?'
35,
35,"'Certainly,' said the Time Traveller, stooping to light a spill at"
35,"the fire. Then he turned, lighting his pipe, to look at the"
35,"Psychologist's face. (The Psychologist, to show that he was not"
35,"unhinged, helped himself to a cigar and tried to light it uncut.)"
35,"'What is more, I have a big machine nearly finished in there'--he"
35,indicated the laboratory--'and when that is put together I mean to
35,have a journey on my own account.'
35,
35,'You mean to say that that machine has travelled into the future?'
35,said Filby.
35,
35,"'Into the future or the past--I don't, for certain, know which.'"
35,
35,After an interval the Psychologist had an inspiration. 'It must have
35,"gone into the past if it has gone anywhere,' he said."
35,
35,'Why?' said the Time Traveller.
35,
35,"'Because I presume that it has not moved in space, and if it"
35,"travelled into the future it would still be here all this time,"
35,since it must have travelled through this time.'
35,
35,"'But,' I said, 'If it travelled into the past it would have been"
35,visible when we came first into this room; and last Thursday when we
35,were here; and the Thursday before that; and so forth!'
35,
35,"'Serious objections,' remarked the Provincial Mayor, with an air of"
35,"impartiality, turning towards the Time Traveller."
35,
35,"'Not a bit,' said the Time Traveller, and, to the Psychologist: 'You"
35,"think. You can explain that. It's presentation below the threshold,"
